Epoch 175 | Train loss tensor(41.2580, device='cuda:0') | Val Loss tensor(50.6945, device='cuda:0') | Dropout 0.0 0.0
Epoch 176 | Train loss tensor(42.4611, device='cuda:0') | Val Loss tensor(50.4078, device='cuda:0') | Dropout 0.0 0.0
Epoch 177 | Train loss tensor(40.6717, device='cuda:0') | Val Loss tensor(48.9035, device='cuda:0') | Dropout 0.0 0.0
Epoch 178 | Train loss tensor(40.1747, device='cuda:0') | Val Loss tensor(47.4986, device='cuda:0') | Dropout 0.0 0.0
Epoch 179 | Train loss tensor(39.1493, device='cuda:0') | Val Loss tensor(51.6404, device='cuda:0') | Dropout 0.0 0.0
Epoch 180 | Train loss tensor(40.5416, device='cuda:0') | Val Loss tensor(47.2652, device='cuda:0') | Dropout 0.0 0.0
Epoch 181 | Train loss tensor(38.5261, device='cuda:0') | Val Loss tensor(45.3954, device='cuda:0') | Dropout 0.0 0.0
Epoch 182 | Train loss tensor(40.7564, device='cuda:0') | Val Loss tensor(47.8724, device='cuda:0') | Dropout 0.0 0.0
Epoch 183 | Train loss tensor(38.2204, device='cuda:0') | Val Loss tensor(44.8570, device='cuda:0') | Dropout 0.0 0.0
Epoch 184 | Train loss tensor(39.8595, device='cuda:0') | Val Loss tensor(45.5803, device='cuda:0') | Dropout 0.0 0.0
Epoch 185 | Train loss tensor(36.8563, device='cuda:0') | Val Loss tensor(45.2653, device='cuda:0') | Dropout 0.0 0.0
Epoch 186 | Train loss tensor(38.5690, device='cuda:0') | Val Loss tensor(45.3946, device='cuda:0') | Dropout 0.0 0.0
Epoch 187 | Train loss tensor(37.5302, device='cuda:0') | Val Loss tensor(46.1428, device='cuda:0') | Dropout 0.0 0.0
Epoch 188 | Train loss tensor(39.1939, device='cuda:0') | Val Loss tensor(45.0596, device='cuda:0') | Dropout 0.0 0.0
Epoch 189 | Train loss tensor(36.0568, device='cuda:0') | Val Loss tensor(47.9288, device='cuda:0') | Dropout 0.0 0.0
Epoch 190 | Train loss tensor(35.9765, device='cuda:0') | Val Loss tensor(45.9650, device='cuda:0') | Dropout 0.0 0.0
Epoch 191 | Train loss tensor(35.5621, device='cuda:0') | Val Loss tensor(49.5188, device='cuda:0') | Dropout 0.0 0.0
Epoch 192 | Train loss tensor(34.6239, device='cuda:0') | Val Loss tensor(43.6681, device='cuda:0') | Dropout 0.0 0.0
Epoch 193 | Train loss tensor(34.7795, device='cuda:0') | Val Loss tensor(45.1592, device='cuda:0') | Dropout 0.0 0.0
Epoch 194 | Train loss tensor(34.7937, device='cuda:0') | Val Loss tensor(45.6683, device='cuda:0') | Dropout 0.0 0.0
Epoch 195 | Train loss tensor(33.8950, device='cuda:0') | Val Loss tensor(46.5316, device='cuda:0') | Dropout 0.0 0.0
Epoch 196 | Train loss tensor(34.6844, device='cuda:0') | Val Loss tensor(44.9979, device='cuda:0') | Dropout 0.0 0.0
Epoch 197 | Train loss tensor(35.3906, device='cuda:0') | Val Loss tensor(47.7207, device='cuda:0') | Dropout 0.0 0.0
Epoch 198 | Train loss tensor(33.7790, device='cuda:0') | Val Loss tensor(42.3224, device='cuda:0') | Dropout 0.0 0.0
Epoch 199 | Train loss tensor(33.9730, device='cuda:0') | Val Loss tensor(44.2111, device='cuda:0') | Dropout 0.0 0.0
